KILL FILE (touch to halt): C:\Users\fycin\m15-claude-independent\live\PTT_KILL
MODE: *** LIVE ***   qty=11
{"ev": "start", "utc": "2026-08-04T06:08:15.163184+00:00", "dry_run": false, "qty": 11, "kill": "C:\\Users\\fycin\\m15-claude-independent\\live\\PTT_KILL", "take_after_s": 120}
{"ev": "start_balance", "utc": "2026-08-04T06:08:15.451251+00:00", "balance": 287.4639}
{"ev": "heartbeat", "utc": "2026-08-04T06:08:15.659556+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:08:20.851797+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:08:25.973908+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:08:31.104157+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:08:36.266704+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:08:41.397158+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:08:46.503490+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:08:51.625961+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:08:56.741676+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:09:02.070640+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:09:07.396710+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:09:12.732893+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:09:18.069032+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:09:23.415879+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:09:28.761977+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:09:34.092608+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:09:39.438338+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:09:44.757552+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:09:50.102810+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:09:55.435964+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:10:00.627836+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:10:05.744488+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:10:10.863565+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:10:16.193062+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:10:21.305199+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:10:26.418350+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:10:31.626841+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:10:36.815013+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
{"ev": "heartbeat", "utc": "2026-08-04T06:10:41.929958+00:00", "resting": 0, "orders": 0, "entered": 0, "gross": 0.0}
